game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season,num_game,a_fgm,a_fga,a_fg_pct,a_fg3m,a_fg3a,a_fg3_pct,a_ftm,a_fta,a_ft_pct,a_oreb,a_dreb,a_reb,a_ast,a_stl,a_blk,a_tov,a_pf,a_pts,a_num_game,spread
21600572,2017-01-10,BOS @ TOR,1610612761,t,W,25,13,0.658,240,41,87,0.471,10,22,0.455,22,27,1,17,33,50,17,9,7,17,21,114,1610612738,2016,Regular Season,2016-17,38,40,85,0.471,9,27,0.333,17,20,1,6,27,33,21,7,3,14,20,106,38,5.25
21601052,2017-03-21,DET @ BKN,1610612751,t,W,14,56,0.2,240,38,88,0.432,10,29,0.345,12,19,1,11,35,46,22,1,6,10,13,98,1610612765,2016,Regular Season,2016-17,70,40,92,0.435,5,23,0.217,11,16,1,10,41,51,17,8,8,6,17,96,71,-5.5
21601189,2017-04-08,BOS @ CHA,1610612766,t,L,36,44,0.45,240,38,84,0.452,9,28,0.321,29,32,1,7,35,42,22,5,5,7,15,114,1610612738,2016,Regular Season,2016-17,80,45,87,0.517,17,39,0.436,14,17,1,5,38,43,35,2,5,9,19,121,80,0.25
21601034,2017-03-18,HOU @ DEN,1610612743,t,L,33,36,0.478,240,38,89,0.427,10,31,0.323,19,30,1,13,32,45,28,9,3,13,24,105,1610612745,2016,Regular Season,2016-17,69,38,83,0.458,5,24,0.208,28,35,1,10,38,48,20,5,5,14,24,109,70,-2.25
21600792,2017-02-08,CHI @ GSW,1610612744,t,W,44,8,0.846,240,48,85,0.565,15,28,0.536,12,13,1,5,40,45,37,9,5,12,17,123,1610612741,2016,Regular Season,2016-17,52,37,92,0.402,4,24,0.167,14,19,1,15,29,44,25,7,2,14,17,92,53,18.75
21600776,2017-02-06,DAL @ DEN,1610612743,t,W,23,28,0.451,240,42,84,0.5,11,28,0.393,15,16,1,10,39,49,28,7,10,15,19,110,1610612742,2016,Regular Season,2016-17,51,34,79,0.43,8,26,0.308,11,17,1,3,26,29,25,8,3,10,18,87,51,2.75
21601010,2017-03-15,LAL @ HOU,1610612745,t,W,47,21,0.691,240,50,91,0.549,18,43,0.419,21,32,1,13,37,50,37,13,4,19,21,139,1610612747,2016,Regular Season,2016-17,68,42,91,0.462,3,25,0.12,13,18,1,9,29,38,16,10,0,22,25,100,68,17.25
21601017,2017-03-16,MEM @ ATL,1610612737,t,L,37,31,0.544,240,29,71,0.408,8,27,0.296,25,34,1,8,30,38,19,6,9,17,17,91,1610612763,2016,Regular Season,2016-17,68,39,92,0.424,10,28,0.357,15,18,1,16,32,48,29,7,5,11,25,103,69,4
21601123,2017-03-30,LAL @ MIN,1610612750,t,W,30,44,0.405,240,43,89,0.483,10,21,0.476,23,30,1,14,26,40,30,9,5,10,20,119,1610612747,2016,Regular Season,2016-17,74,40,84,0.476,9,27,0.333,15,16,1,14,28,42,20,4,5,16,22,104,75,11.5
21600957,2017-03-08,SAC @ SAS,1610612759,t,W,50,13,0.794,240,42,84,0.5,14,29,0.483,16,21,1,6,37,43,33,9,5,12,15,114,1610612758,2016,Regular Season,2016-17,63,42,86,0.488,7,19,0.368,13,16,1,5,37,42,20,7,3,13,22,104,64,11.5
21600990,2017-03-12,PHI @ LAL,1610612747,t,L,20,46,0.303,240,44,88,0.5,4,20,0.2,24,28,1,7,33,40,24,10,10,15,21,116,1610612755,2016,Regular Season,2016-17,66,41,79,0.519,10,24,0.417,26,32,1,4,30,34,28,8,4,16,24,118,66,4.75
21600773,2017-02-06,PHI @ DET,1610612765,t,W,24,28,0.462,240,46,99,0.465,5,22,0.227,16,17,1,19,41,60,22,8,4,12,19,113,1610612755,2016,Regular Season,2016-17,52,36,85,0.424,5,28,0.179,19,28,1,11,30,41,19,8,0,13,17,96,51,8.75
21600821,2017-02-13,PHI @ CHA,1610612766,t,L,24,31,0.436,240,34,78,0.436,11,31,0.355,20,26,1,3,30,33,19,11,5,15,17,99,1610612755,2016,Regular Season,2016-17,55,41,86,0.477,12,33,0.364,11,17,1,9,42,51,24,9,5,18,21,105,55,7.75
21601201,2017-04-09,DET @ MEM,1610612763,t,L,43,38,0.531,240,36,75,0.48,9,21,0.429,9,13,1,6,24,30,23,12,3,15,16,90,1610612765,2016,Regular Season,2016-17,81,39,82,0.476,14,28,0.5,11,16,1,15,31,46,21,8,2,18,12,103,80,5.5
